 Date , SP500 , MSFT-US , AAPL-US , AMZN-US , BRK.B-US , FB-US , JNJ-US , JPM-US , GOOG-US , GOOGL-US , XOM-US , BAC-US , UNH-US , PFE-US , V-US , VZ-US , PG-US , T-US , INTC-US , CVX-US , WFC-US , NTRS-US , SBAC-US , ROK-US , CLX-US , FE-US , MAT-US , UAA-US , NFX-US , COTY-US , NWS-US 
 07/02/2017 ,-0.0012152,-0.0048636,0.007584,0.0039416,-0.0042293,-0.0030248,-0.0010562,-0.0048198,0.0037065,0.0045185,-0.0055268,-0.0163231,-0.0032288,-0.0074257,-0.0020941,-0.0018699,0.004222,0.0009739,-0.0027437,-0.0140734,-0.0091453,-0.0044842,0.0036395,-0.0071767,0.0081249,0.0023393,-0.0053806,-0.0149182,-0.0291117,0.0077436, -   
 08/02/2017 ,0.0022362,-0.0036181,0.0052532,0.008638,-0.0001842,0.0120664,0.0008826,-0.0025527,0.00171,-0.0007826,-0.00622,-0.0026397,0.0019375,0.0068923,-0.008275,0.0045689,0.0029522,0.0009715,0.0011006,0.0040493,-0.0103184,0.0034643,0.0198511,-0.0058194,0.0106586,0.0003331,0.0003854,0.0282927,0.0259336,0.0266396,-0.007968
 09/02/2017 ,0.0048635,0.0085012,0.005849,-0.0002921,0.0037325,-0.0026024,0.0053759,0.0090255,0.0000618,-0.0020079,0.000489,0.0158172,0.0006236,0.0037199,0.0024598,0.005977,0.0047592,0.000969,-0.0284931,0.0031275,0.0133976,0.0149556,0.0074885,0.0079104,0.0027549,-0.0059879,-0.0065385,0.0211665,0.0207086,-0.0097297,0.0282258
 10/02/2017 ,0.0016564,-0.0038911,-0.0025669,0.0044184,-0.0035239,0.0006711,0.0080474,-0.005487,0.002427,0.002281,0.0031607,-0.0047435,0.0039345,-0.0018515,0.0011657,0.0008173,-0.0066621,0.0031516,0.0022688,0.0026609,-0.0028062,-0.0051275,-0.0066865,0.001521,0.0018138,0.0197588,-0.0088598,-0.0261497,0.0060212,-0.0038147,0.0879999
 13/02/2017 ,0.0028126,0.0074721,0.0015779,0.0059041,0.0069213,-0.0048071,0.0052047,0.00812,0.0039706,0.0015041,0.0027788,0.0099267,0.00809,0.0052405,0.0027842,0.0058008,0.0030667,-0.0041646,0.006466,0.004852,0.0001752,0.0062983,0.0231473,0.0021094,0.0010237,0.0003277,0.0003861,-0.0193192,0.0091302,0.0049235,-0.0255474
 14/02/2017 ,0.0049267,0.002484,0.0116132,-0.0007288,0.0066325,-0.0018643,0.0079694,0.0142695,0.0017705,0.0003096,-0.0010858,0.0282051,0.0104058,0.006763,0.0038141,-0.0008281,-0.001591,0.0069188,0.002511,-0.0014199,0.0148784,0.0138921,-0.0065783,0.0046204,0.0062396,-0.0058939,-0.0224506,0.0097448,0.031656,0.0461454,-0.0037312
 15/02/2017 ,0.0058529,0.0004652,-0.0000736,0.0104317,0.0004186,-0.0000749,0.0112166,0.0056617,-0.0004638,-0.0017763,0.0062922,0.0098604,0.0105179,0.0222696,0.0059759,0.0016669,0.0145864,0.0113133,0.0019455,0.0032083,0.0077452,0.0094501,-0.0001846,0.0063353,0.0047727,0.0089613,0.0144362,0.0195622,-0.0032325,0.0195979,0.0189394
 16/02/2017 ,-0.0010299,-0.0033982,-0.0023954,0.0027321,0.0027499,0.0057864,0.0092307,0.0014381,0.005159,0.0043769,-0.0098654,0.0016299,-0.0068577,0.0050821,-0.0015993,0.0089528,-0.0014297,0.0031614,0.006357,-0.0204442,-0.0041125,-0.0142212,0.0015631,-0.0002633,0.0149,0.0079,-0.0126923,-0.0150205,-0.0270145,-0.0574888,-0.0037175
 17/02/2017 ,0.0034784,0.0023266,0.0045892,0.0036461,0.0060277,0.0002247,0.0056688,0.0045647,0.0061359,0.0062284,-0.0040198,0.0098847,-0.0086793,0.000893,0.0021773,0.0182157,0.0052974,0.0075299,0.0044053,-0.0008152,0.0088572,0.0069283,-0.006503,0.0087648,0.0180449,0.0114157,0.016751,0.0092251,-0.0030989,0.0069296,0.0074628
 20/02/2017 ,0.0034784,0.0023266,0.0045892,0.0036461,0.0060277,0.0002247,0.0056688,0.0045647,0.0061359,0.0062284,-0.0040198,0.0098847,-0.0086793,0.000893,0.0021773,0.0182157,0.0052974,0.0075299,0.0044053,-0.0008152,0.0088572,0.0069283,-0.006503,0.0087648,0.0180449,0.0114157,0.016751,0.0092251,-0.0030989,0.0069296,0.0074628
 21/02/2017 ,0.004446,-0.0018572,0.0034504,0.0089534, -   ,0.0016479,0.0106421,0.0055244,0.0036203,0.0015095,-0.0028009,0.0077268,0.018716,0.0014595,0.0046851,-0.0016157,0.0120336,0.008702,-0.0002735,0.0089407, -   ,0.0050216,0.0176487,-0.0034787,0.0118788,0.0132599,-0.0118774,-0.01,0.0033058,-0.0005217,0.0111111
 22/02/2017 ,0.0007242,0.0004663,0.0049839,-0.0015637,0.0040848,0.0188623,0.0020123,0.0059656,0.0025342,0.0039623,-0.0088182,0.0073141,-0.002113,0.0005958,0.0021687,0.0034344,-0.0001093,-0.002159,-0.0074301,-0.0072846,0.006207,0.000915,0.0059459,0.0131213,0.0069638,-0.000649,-0.0042504,-0.0059091,-0.0010228,-0.0187501,-0.0036629
 23/02/2017 ,-0.0015586,0.0031046,-0.0061871,-0.0062735,0.0011179,-0.0039002,0.0182395,-0.0005484,0.0014576,-0.000094,0.0044214,-0.0084711,0.007872,0.0106824,-0.0005668,0.0066026,-0.0052397,0.0062364,-0.0016558,-0.0028742,0.001027,-0.0023891,-0.007498,-0.0133533,-0.0022036,0.0135614,-0.012379,-0.0100503,-0.0482897,-0.0047595,-0.010989
 24/02/2017 ,0.0049284,0.0013946,0.0055182,0.0006511,0.0042478,0.0095408,0.0101234,0.0016635,0.0010994,0.0001888,-0.0063725,0.0045606,0.0023974,0.0026338,0.012248,0.0063644,0.0008793,0.0059368,0.0107913,-0.0070335,0.0019065,0.0023028,-0.0007192,0.0048534,0.0074616,0.0240811,0.011386,0.009255,-0.0179096,-0.0042689,-0.0074075
 27/02/2017 ,0.001911,-0.0048033,-0.0015313,0.0074313,-0.0015799,0.0085021,0.0022107,0.001218,0.0057365,0.0055861,0.0050538,0.0152891,0.0136063,0.0014606,-0.0036232,-0.0108933,0.0039764,-0.0113476,0.002471,0.0099413,0.0043245,0.0040146,0.0164008, -   ,0.0061948,-0.0166925,0.0132502,-0.0069284,-0.0080884,0.0118724, -   
