Date,SP500,MSFT-US,AAPL-US,AMZN-US,BRK.B-US,FB-US,JNJ-US,GOOGL-US,XOM-US,UNH-US,PFE-US,V-US,VZ-US,PG-US,T-US,INTC-US,CVX-US,SBAC-US,ROK-US,CLX-US,FE-US,MAT-US,UAA-US,NFX-US,COTY-US,NWS-US
14/02/2017,0.01076471,0.00326025,0.0168578,0.00964158,0.01640036,-0.00425056,0.02962567,0.00807364,-0.01387055,-0.02372252,0.03350752,0.01278871,0.0182157,0.03511344,0.02495683,0.01785699,-0.02085561,-0.00895386,0.0077287,0.05607764,0.01538964,-0.0068494,0.01531323,-0.01204819,0.02551567,0.00746276
15/02/2017,0.01275914,-0.00015499,0.00870742,0.02690647,0.01022666,0.00202323,0.0324418,0.01247005,-0.00907582,-0.01236309,0.02562532,0.01034262,0.0297917,0.02071053,0.02631563,0.01500847,-0.00436672,0.02206425,0.00699849,0.05969786,0.0398275,0.00624269,0.01443875,-0.01893327,-0.01186171,0.03409089
16/02/2017,0.00560937,-0.00586964,0.01061379,0.01635703,0.01392874,0.02292027,0.02153845,0.01533691,-0.02634752,-0.02554917,0.00418528,0.00285528,0.03414545,0.0057195,0.0114301,-0.00304037,-0.02309923,0.02666421,0.0063191,0.06030099,0.0134959,-0.00884617,-0.00455166,-0.09789887,-0.0499245,0.01115249
17/02/2017,0.00887747,0.00232664,0.01058493,0.01210214,0.01545715,0.01393258,0.02969785,0.01151775,-0.00377634,0.02264139,0.01399224,0.01042746,0.04139934,0.00573878,0.01894585,-0.00385474,0.00543364,0.01840997,0.00577683,0.03418615,0.02380966,-0.00545381,-0.00046125,-0.09797378,0.00319828,0.00746276
20/02/2017,0.01038408,0.00232664,0.01154708,0.00384798,0.01587491,0.01453184,0.04528397,0.00772605,-0.01230358,0.02553446,0.01994632,0.01329202,0.04740216,0.00485591,0.02890461,0.00578191,-0.00271696,0.01813519,0.00358548,0.03829772,0.05414234,0.003506,0.00599631,-0.12419547,0.00132025, -   
21/02/2017,0.00630173,-0.00588126,0.0051386,-0.00023562,0.01012314,0.02179775,0.04062457,0.00198116,-0.00706283,0.04923246,0.02111936,0.00559937,0.00868511,0.00342227,0.01087754,-0.00054749,0.00921157,0.03676809,-0.00721992,0.01934992,0.02878387,-0.0038314,-0.02272727,-0.13128689,-0.01536942,-0.00740748
22/02/2017,0.00107153,-0.00544075,0.00410469,-0.01389813,0.01479991,0.01452096,0.03134383,-0.00362028,-0.00404171,0.02777952,0.01638373,0.00376689,0.00262639,-0.00415536,0.00263923,-0.00385253,0.01178187,0.04297297,0.0013254,0.01355757,0.05258026,-0.00579601,-0.06272727,-0.06775761,-0.01533482,-0.03296702
23/02/2017,0.01202112,0.0080722,0.01754243,-0.00523572,0.04306896,0.01125911,0.0431691,0.00666212,0.0196511,0.04097195,0.02136479,0.00861385,-0.00340137,0.00054573,0.00839532,-0.00855413,0.0228131,0.02972418,0.01276702,0.00756661,0.01905062,-0.01160536,-0.05893102,-0.07595573,0.03117466,-0.01831508
24/02/2017,0.01111757,-0.00805831,0.02244107,0.00499592,0.03769912,0.01937984,0.0175307,0.00259541,0.02083359,0.02852414,0.00995026,0.01339286,-0.00596651,-0.0006596,-0.00094985,-0.00636431,0.02218208,0.03631787,0.01755192,0.01507077,0.00253485,-0.00431877,-0.03146691,-0.01710773,-0.00160079,-0.01851859
27/02/2017,0.00756375,-0.00449356,0.01925035,0.00890335,0.02796957,0.01412095,0.01359202,0.00488786,0.01639362,0.03088978,0.00847193,0.00532152,-0.00792231,-0.00033144,-0.0068559,-0.01427806,0.02620882,0.03613589,0.01156946,0.00973457,-0.01885627,-0.00818396,-0.04896074,-0.01401995,0.0113328,-0.01119402
28/02/2017,0.00390097,0.00296492,0.01648673,-0.00568442,0.02633119,0.0046056,0.01393324,-0.00009441,0.01594492,0.01952019,0.00733104,0.00884754,0.00140099,-0.00583047,0.00551162,-0.02333882,0.01352308,0.02373333,0.01275977,0.0048479,-0.01540385,-0.02038466,-0.06526807,-0.00713306,0.00691465,-0.00749079
01/03/2017,-0.0049325,0.00421027,0.01182105,-0.00824102,0.00921128,0.00608192,0.01093958,-0.00027015,0.01003701,0.00947693,-0.0081704,0.00360607,-0.00242126,-0.00834693,0.00239369,-0.00139468,-0.00982986,-0.00645661,-0.00065078,0.00337106,-0.0283579,-0.03509449,-0.05016884,-0.03002434,-0.00423737,-0.0225563
02/03/2017,-0.01326652,0.00463719,-0.00714277,-0.00302434,-0.01624873,0.00459552,0.00282832,-0.00311803,-0.02137677,0.00128263,-0.01596068,-0.00044959,-0.01066641,-0.01378554,-0.00310261,-0.00862785,-0.03571745,-0.00830378,-0.01493417,-0.00423391,-0.01081074,-0.01605331,-0.07087379,-0.07144812,-0.0315246,-0.0447761
03/03/2017,-0.00674109,0.0115644,-0.00072046,0.00684608,-0.00340967,0.01178365,0.02058169,0.01048366,-0.02261845,0.00756557,-0.01074931,0.00905898,-0.0153846,-0.005066,-0.00261571,-0.00333894,-0.0327003,0.0098744,-0.00652837,-0.00094756,-0.01830807,-0.00670069,-0.08591885,-0.06365114,-0.00319987,-0.03396225
06/03/2017,-0.00110726,0.01500713,-0.00161464,0.00855388,-0.00262198,0.01395383,0.02601414,0.01717521,-0.01006798,0.01901435,-0.00640867,0.01355472,-0.01359184,0.01312725,0.01243121,0.00335252,-0.02331117,0.03206588,0.01193517,0.01387865,-0.02067655,0.00511613,-0.06459446,-0.06128591,0.025228,-0.02661603
07/03/2017,0.00115154,0.00810087,0.00100667,0.01077494,-0.00108213,0.01875502,0.03344744,0.02044237,-0.02033463,0.01421476,0.00708568,0.01258575,-0.0106001,0.01297961,0.01121721,-0.01069246,-0.03690334,0.02527453,0.00967513,0.01289597,-0.00384363,0.00236215,-0.04511278,-0.05296378,0.01052642,-0.04175613
08/03/2017,-0.00183981,0.00233426,0.00028789,0.00534198,-0.00659503,0.01582209,0.02666673,0.01499203,-0.01651489,0.00865103,0.00914204,0.00426165,0.00121694,0.01088635,0.00501433,-0.01373671,-0.03868188,0.00903719,-0.0108358,0.00931283,0.00258732,0.00518974,-0.03696203,-0.03371734,0.00264799,-0.00775193
09/03/2017,0.00921095,-0.00674961,0.01239736,0.00231492,-0.00586227,0.01452222,0.03515818,0.01721937,0.01686523,0.02158799,0.02213712,0.01011014,0.0186916,0.01397824,0.017439,-0.01404482,-0.00393369,0.02037426,0.02147803,0.01389287,0.01739146,0.01709064,0.01778243,0.04151839,0.01916901,0.00787405
10/03/2017,0.00373443,-0.00721852,0.01034092,-0.00417736,-0.01090909,0.00777482,0.0192005,0.00846181,-0.00448832,0.01710009,0.00849416,0.00603373,0.01090919,0.00704861,0.00975485,-0.02713173,-0.03177743,-0.00972033,0.0140751,0.00392784,-0.00256328,-0.00157422,0.02587992,-0.00114548,0.03151711,0.01179566
13/03/2017,0.00282093,-0.00215363,0.00821012,0.00063397,-0.01409094,0.00814649,0.01772236,0.01340567,0.00613488,-0.00170589,0.00527244,0.0048997,0.02148789,-0.00065887,0.00923715,-0.01617837,-0.02560851,-0.01900076,0.0109527,-0.00398297,0.00416282,0.00195237,0.00570835,0.004662,0.02048293,0.0196851
